rider_id,rider_name,city,vehicle_type,experience_years,joining_year,shift_type
D00001,Gauri Chakraborty,Bangalore,Bike,5,2025,Afternoon
D00002,Rajata Barad,Bangalore,Bike,3,2025,Afternoon
D00003,Mohammed Mohanty,Bangalore,Scooter,1,2023,Night
D00004,Isaiah Brahmbhatt,Hyderabad,Bike,4,2021,Evening
D00005,Vrishti Patil,Hyderabad,Bike,6,2025,Evening
D00006,Lavanya Sem,Bangalore,Bike,6,2023,Evening
D00007,Charles Karnik,Chennai,Bike,8,2025,Morning
D00008,Sathvik Lad,Hyderabad,Scooter,4,2022,Morning
D00009,Warda Majumdar,Bangalore,Bike,8,2022,Evening
D00010,Simon Som,Bangalore,Bike,7,2020,Evening
D00011,George Soni,Chennai,Bike,0,2021,Evening
D00012,Abeer Bawa,Coimbatore,Scooter,7,2023,Afternoon
D00013,Yutika Khanna,Chennai,Bike,3,2023,Afternoon
D00014,Rachit Divan,Chennai,Bike,6,2021,Morning
D00015,Zilmil Agarwal,Bangalore,Scooter,2,2025,Evening
D00016,Ojasvi Garde,Chennai,Bike,4,2022,Afternoon
D00017,Daniel Suresh,Chennai,Scooter,6,2022,Afternoon
D00018,Yahvi Sabharwal,Bangalore,Scooter,1,2024,Night
D00019,Qadim Prakash,Chennai,Bike,4,2021,Evening
D00020,Faqid Subramaniam,Coimbatore,Bike,7,2021,Morning
D00021,Tara Palla,Chennai,Scooter,6,2022,Morning
D00022,Tanveer Shroff,Hyderabad,Bike,8,2024,Evening
D00023,Urvashi Cherian,Hyderabad,Bike,2,2022,Afternoon
D00024,Jeevika Bose,Chennai,Scooter,6,2025,Morning
D00025,Mugdha Ram,Hyderabad,Scooter,6,2026,Evening
D00026,Lohit Nagarajan,Vijayawada,Bike,0,2023,Night
D00027,Bhavna Oommen,Bangalore,Bike,1,2021,Afternoon
D00028,Yadavi Amble,Hyderabad,Scooter,6,2021,Evening
D00029,Zansi Dubey,Chennai,Bike,8,2021,Morning
D00030,Anmol Hari,Coimbatore,Scooter,5,2021,Morning
D00031,Yug Panchal,Bangalore,Scooter,7,2022,Night
D00032,Logan D’Alia,Hyderabad,Bike,2,2021,Morning
D00033,Oeshi Bhattacharyya,Chennai,Scooter,6,2026,Evening
D00034,Luke Sarin,Bangalore,Scooter,0,2020,Morning
D00035,Upkaar Pathak,Bangalore,Scooter,5,2022,Morning
D00036,Wahab Sen,Chennai,Scooter,3,2024,Morning
D00037,David Biswas,Bangalore,Scooter,3,2025,Afternoon
D00038,Maya Prabhu,Chennai,Scooter,0,2026,Night
D00039,Jai Mangal,Hyderabad,Bike,1,2023,Morning
D00040,Nathan Nagarajan,Hyderabad,Bike,4,2022,Afternoon
D00041,Dhruv Baral,Chennai,Bike,8,2025,Night
D00042,Falan Pingle,Bangalore,Bike,5,2022,Night
D00043,Balendra Baral,Bangalore,Bike,1,2020,Afternoon
D00044,Samar Bhatia,Vijayawada,Bike,7,2021,Afternoon
D00045,Rajata Dugar,Coimbatore,Bike,2,2022,Morning
D00046,Ayushman Bhavsar,Bangalore,Scooter,2,2022,Morning
D00047,Ethan Bal,Chennai,Bike,5,2021,Night
D00048,Isaac Goswami,Bangalore,Bike,1,2025,Afternoon
D00049,Sudiksha Puri,Coimbatore,Bike,4,2022,Morning
D00050,Indrajit Basak,Bangalore,Scooter,2,2024,Afternoon
D00051,Tanmayi Dhar,Vijayawada,Scooter,7,2020,Afternoon
D00052,Krishna Rajan,Bangalore,Scooter,4,2022,Afternoon
D00053,Udant Uppal,Chennai,Bike,5,2021,Night
D00054,Yatan Jaggi,Vijayawada,Scooter,0,2025,Morning
D00055,Vasatika Nadkarni,Bangalore,Bike,0,2023,Afternoon
D00056,Tejas Sharaf,Coimbatore,Bike,4,2026,Morning
D00057,Banjeet Butala,Hyderabad,Scooter,7,2020,Morning
D00058,Jai Nadig,Chennai,Bike,3,2023,Night
D00059,Reyansh Dara,Chennai,Scooter,8,2026,Afternoon
